127.0.0.1, 2016-06-29 16:43:45, GET, /, HTTP/1.1, 303, 0.001684
127.0.0.1, 2016-06-29 16:45:08, GET, /, HTTP/1.1, 303, 0.002745
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/default/index, HTTP/1.1, 200, 3.946277
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/default/index, HTTP/1.1, 200, 19.933018
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005342
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.013153
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.012792
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.011714
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.011407
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.014318
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.014335
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015117
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.014557
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.030978
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.014760
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.013994
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005019
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007917
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.008988
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004106
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001759
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002464
127.0.0.1, 2016-06-29 16:45:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.006839
